Timestamp,1. What is your gender?,2. What is your age range?,3. Which district are you from?,4. What is your occupation?,5. What is your approximate monthly household spending on products? (LKR),6. How often do you shop for products?,06. Does your cultural background influence what products you buy?,"Q07.  Clothing & Apparel
What do you mainly check before buying a clothing & apparel product?","Q08. Clothing & Apparel  
What is your main reason for buying clothing & apparel products?","Q09. Clothing & Apparel   
How much does emotional appeal (how it makes you feel) influence your purchase of clothing & apparel products?","Q10.   Beauty & Personal Care
What do you mainly check before buying a beauty & personal care product?","Q11.   Beauty & Personal Care
 What is your main reason for buying beauty & personal care products?","Q12.   Beauty & Personal Care
How much does emotional appeal (how it makes you feel) influence your purchase of beauty & personal care products?","Q13.  Electronics
What do you mainly check before buying a electronics product?","Q14.  Electronics 
What is your main reason for buying electronics products?","Q15.  Electronics
How much does emotional appeal (how it makes you feel) influence your purchase of electronics products?","Q16.   Grocery & Food
What do you mainly check before buying a grocery & food product?","Q17.    Grocery & Food
What is your main reason for buying grocery & food products?","Q18.    Grocery & Food  
  How much does emotional appeal (how it makes you feel) influence your purchase of grocery & food products?","Q19.  Baby Products 
  What do you mainly check before buying a baby products product?","Q20. Baby Products
What is your main reason for buying baby products products?","Q21.  Baby Products
How much does emotional appeal (how it makes you feel) influence your purchase of baby products products?","Q22.  Pet Products
What do you mainly check before buying a pet products product?","Q23.  Pet Products
What is your main reason for buying pet products products?","Q24.  Pet Products
How much does emotional appeal (how it makes you feel) influence your purchase of pet products products?","Q25.  Sports & Fitness
What do you mainly check before buying a sports & fitness product?","Q26.  Sports & Fitness
What is your main reason for buying sports & fitness products?","Q27.  Sports & Fitness
How much does emotional appeal (how it makes you feel) influence your purchase of sports & fitness products?"
5/27/2026 20:54,Female,18 – 24,Gampaha,Student,"More than Rs. 50,000",Several times a week,"No, not at all","Price and value for money, Appearance or design",It makes me feel good or satisfied emotionally,5,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It is a trusted brand or widely recommended,5,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,1,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It is the best value for money,5,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,5,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,4,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings",It solves a specific practical problem,5
5/27/2026 21:23,Male,45 – 54,Kalutara,Self-employed / Business owner,"Rs. 15,001 – Rs. 30,000",Several times a week,Somewhat,Appearance or design,It solves a specific practical problem,2,Appearance or design,It is a trusted brand or widely recommended,5,Appearance or design,It is a trusted brand or widely recommended,3,"Appearance or design, Product specifications or ingredients",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation",It makes me feel good or satisfied emotionally,2,Price and value for money,It is the best value for money,5,"Price and value for money, Brand name or reputation",It is a trusted brand or widely recommended,5
5/27/2026 21:26,Male,35 – 44,Galle,Self-employed / Business owner,"Rs. 30,001 – Rs. 50,000",A few times a month,Somewhat,"Product specifications or ingredients, Customer reviews or ratings",It is the best value for money,5,Product specifications or ingredients,It solves a specific practical problem,5,"Appearance or design, Product specifications or ingredients",It solves a specific practical problem,3,"Appearance or design, Customer reviews or ratings",It is a trusted brand or widely recommended,5,Product specifications or ingredients,It is the best value for money,4,"Brand name or reputation, Product specifications or ingredients",It is the best value for money,4,"Appearance or design, Product specifications or ingredients",It is a trusted brand or widely recommended,4
5/27/2026 23:11,Female,25 – 34,Puttalam,Student,"More than Rs. 50,000",Several times a week,"Yes, strongly","Price and value for money, Appearance or design, Product specifications or ingredients",It makes me feel good or satisfied emotionally,5,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,4,"Price and value for money, Brand name or reputation, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,4,"Price and value for money, Product specifications or ingredients",It makes me feel good or satisfied emotionally,4,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings",It is a trusted brand or widely recommended,4,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,4,"Price and value for money, Appearance or design",It makes me feel good or satisfied emotionally,4
5/28/2026 6:40,Male,18 – 24,Kalutara,Student,"Rs. 5,000 – Rs. 15,000",Once a week,"No, not at all","Price and value for money, Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,5,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,5,"Brand name or reputation, Product specifications or ingredients",It makes me feel good or satisfied emotionally,3,"Price and value for money, Brand name or reputation, Product specifications or ingredients",It is the best value for money,4,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It is a trusted brand or widely recommended,5,"Brand name or reputation, Appearance or design, Product specifications or ingredients, Recommendation from someone I trust",It is a trusted brand or widely recommended,5,"Price and value for money, Brand name or reputation, Appearance or design",It is the best value for money,5
5/28/2026 6:47,Male,18 – 24,Kalutara,Private sector employee,"Rs. 15,001 – Rs. 30,000",Several times a week,Somewhat,"Price and value for money, Appearance or design, Product specifications or ingredients",It makes me feel good or satisfied emotionally,4,"Price and value for money, Appearance or design, Product specifications or ingredients",It is the best value for money,4,"Price and value for money, Brand name or reputation, Customer reviews or ratings",It is a trusted brand or widely recommended,3,"Price and value for money, Product specifications or ingredients",It makes me feel good or satisfied emotionally,5,"Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings",It is a trusted brand or widely recommended,5,"Price and value for money, Appearance or design, Product specifications or ingredients, Customer reviews or ratings",It is the best value for money,4,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients",It is the best value for money,5
5/28/2026 6:59,Male,18 – 24,Kalutara,Student,"Rs. 5,000 – Rs. 15,000",A few times a month,"Yes, strongly","Brand name or reputation, Product specifications or ingredients",It is a trusted brand or widely recommended,3,"Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings",It makes me feel good or satisfied emotionally,4,"Brand name or reputation, Appearance or design, Customer reviews or ratings",It solves a specific practical problem,2,"Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings",It makes me feel good or satisfied emotionally,3,"Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It is a trusted brand or widely recommended,4,"Price and value for money, Brand name or reputation, Product specifications or ingredients",It solves a specific practical problem,2,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,5
5/28/2026 7:58,Male,18 – 24,Kandy,Student,"Rs. 15,001 – Rs. 30,000",Once a week,Somewhat,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,4,"Price and value for money, Appearance or design, Product specifications or ingredients, Customer reviews or ratings",It makes me feel good or satisfied emotionally,3,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Recommendation from someone I trust",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,4,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings",It is a trusted brand or widely recommended,4,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,4
5/28/2026 8:11,Female,18 – 24,Kalutara,Student,"Rs. 5,000 – Rs. 15,000",A few times a month,"No, not at all","Price and value for money, Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,4,"Price and value for money, Brand name or reputation, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,4,"Price and value for money, Brand name or reputation, Product specifications or ingredients",It solves a specific practical problem,4,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation, Appearance or design, Customer reviews or ratings",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation, Product specifications or ingredients",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation, Appearance or design, Customer reviews or ratings",It solves a specific practical problem,4
5/28/2026 8:22,Male,45 – 54,Kurunegala,Self-employed / Business owner,"More than Rs. 50,000",A few times a month,Somewhat,"Appearance or design, Product specifications or ingredients",It makes me feel good or satisfied emotionally,4,Product specifications or ingredients,It makes me feel good or satisfied emotionally,4,"Price and value for money, Brand name or reputation",It solves a specific practical problem,2,"Price and value for money, Product specifications or ingredients",It is the best value for money,4,"Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It is a trusted brand or widely recommended,5,"Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It is a trusted brand or widely recommended,4,"Price and value for money, Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,5
